url,address,price,auction,rooms_count,new_building,apartment,total_area,living_area,kitchen_area,ceiling_height,floor,total_floors,combined_bathroom,separated_bathroom,balcony,loggia,view_from_the_windows,repair,year_of_construction,construction_series,passenger_elevator,cargo_elevator,floor_type,entrances,garbage_chute,concierge,parking,heating,accident_rate,gas_supply,sold_with_furniture,house_type,metro_info,highway_info,description,lat,lng,minor_owners,maternity_capital,publication_date,request_time,photos_url,seller,finishing,ramp
https://www.cian.ru/sale/flat/323270365/,"Москва, САО, р-н Восточное Дегунино, м. Дегунино, Дубнинская улица, 12К3",850000,Н,Доля,Вторичка,,58.0,,,2.64,4,9,,1.0,,,,Без ремонта,1971.0,,1.0,,Железобетонные,10.0,,,,Нет информации,Н,,,Панельный,"Дегунино 4 мин. (пешком), Верхние Лихоборы 16 мин. (пешком), Селигерская 22 мин. (пешком)",,"Продаю доле в праве 4/63. цена договорная. Без возможности показа. Основания возникновения доли - наследство 2021 год. Продвижение риэлторов не требуется. Это доля в квартире Уточните у автора объявления, как оформлено право собственности и перепланировка, а также какой ремонт — можно ли заезжать и жить",55.865626,37.570581,,,2025-11-25 12:03:00,2025-12-20 04:01:25,,,,
https://www.cian.ru/sale/flat/311675980/,"Москва, ЮЗАО, р-н Южное Бутово, м. Улица Скобелевская, Скобелевская улица, 20",1090000,Н,Доля,Вторичка,,75.1,,10.3,2.7,5,17,,1.0,,,,Евроремонт,1994.0,П-44,1.0,1.0,Железобетонные,4.0,Д,,Наземная,Центральное,Н,,,Панельный,"Улица Скобелевская 3 мин. (пешком), Бульвар Адмирала Ушакова 12 мин. (пешком), Бутово 15 мин. (пешком)","Калужское шоссе, 13 км от МКАД, Варшавское шоссе, 4 км от МКАД","Без торга. Цена ниже рыночной. Продаю 1/12 доли в 3-комн.кв. (6,25 м2 общей площади квартиры), в собственности 10 лет, вид права : ОБЩАЯ долевая собственность. В квартире установлен порядок пользования жилым помещением на основании РЕШЕНИЯ СУДА от 2000 г. Квартира жилая и  малонаселенная, проживает только сособственник-пенсионерка (70 лет), в квартире был сделан евроремонт 15 лет назад. Сособственники (неплатежеспособные люди) были уведомлены о продаже доли, но НЕ воспользовались преимущественным правом покупки. Уведомления имеются на сделку.
Покупка доли на перспективу (московская прописка, повышенная пенсия, пособия, медицина, социальная карта москвича, санаторно-курортное лечение, льготы  др.). Оформление постоянной регистрации для собственника и его несовершеннолетних детей, ПМЖ в РФ, улучшения жилищных условий как нуждающиеся граждане в ДГИ г Москвы.  Возможны варианты продажи несколько долей одному или нескольким  покупателям (1/12+1/12, 1/6, 1/4+1/12, 1/3) в том числе под прописку и/или проживание!!! 
Идеальный вариант для получения московской ПРОПИСКИ, права СОБСТВЕННОСТИ, ПРОЖИВАНИИ в изолированной комнате 15 м2 и ИНВЕСТИЦИЙ с выкупом оставшихся долей у иных сособственников. Объявление АКТУАЛЬНО. Описание и фотографии соответствуют действительности. Продажа напрямую от первоначального собственника, без дополнительных комиссии и затрат. Приоритет отдаю телефонным звонкам, звоните!!! Узнать больше Это доля в квартире Уточните у автора объявления, как оформлено право собственности и перепланировка, а также какой ремонт — можно ли заезжать и жить",55.546185,37.555427,,,2025-12-19 16:40:00,2025-12-20 03:52:02,"https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-skobelevskaya-ulica-2664163327-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-skobelevskaya-ulica-2597369725-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-skobelevskaya-ulica-2446945331-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-skobelevskaya-ulica-2438746521-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-skobelevskaya-ulica-2438746519-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-skobelevskaya-ulica-2359641862-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-skobelevskaya-ulica-2664171152-1.jpg, https://images.cdn-cian.ru/images/2359643110-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-skobelevskaya-ulica-2501634956-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-skobelevskaya-ulica-2732239092-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-skobelevskaya-ulica-2438746518-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-skobelevskaya-ulica-2736021823-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-skobelevskaya-ulica-2446945332-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-skobelevskaya-ulica-2715502462-1.jpg",,,
https://www.cian.ru/sale/flat/325133937/,"Москва, ТАО (Троицкий), м. Апрелевка, Киевский рп, 8",1100000,Н,Доля,Вторичка,,29.0,18.0,5.0,,1,5,,1.0,,,Во двор,Косметический,1979.0,,,,Железобетонные,6.0,,,Наземная,Центральное,Н,Центральное,,Панельный,Апрелевка 27 мин. (на машине),"Киевское шоссе, 46 км от МКАД, Боровское шоссе, 49 км от МКАД","Лот: 1100513  Продается 1/3 доля в однокомнатной квартире. Уведомление есть. Сособственник один. Квартира регулярно сдается. Подробности по телефону. Это доля в квартире с несогласованной перепланировкой Уточните у автора объявления, как оформлено право собственности и какой ремонт — можно ли заезжать и жить",55.431157,36.870426,,,2025-12-19 14:56:00,2025-12-20 03:58:39,"https://images.cdn-cian.ru/images/2740417309-1.jpg, https://images.cdn-cian.ru/images/2740417329-1.jpg, https://images.cdn-cian.ru/images/2740417298-1.jpg, https://images.cdn-cian.ru/images/2740417290-1.jpg",,,
https://www.cian.ru/sale/flat/322619599/,"Москва, ЮВАО, р-н Текстильщики, м. Текстильщики, Саратовская улица, 9",1100000,Н,Доля,Вторичка,,6.0,,,,2,9,,1.0,,,,Косметический,1966.0,II-29,,,Железобетонные,5.0,,,,Центральное,Н,Центральное,,Кирпичный,"Текстильщики 9 мин. (пешком), Текстильщики 14 мин. (пешком), Печатники 4 мин. (на машине)",,"Продажа БЕЗ ПОКАЗА.
С соседями не общаемся. 
Продаётся доля 6 кв.м. в двухкомнатной квартире общей площадью 44.9 кв.м.
С документами все в порядке, собственность на основании договора купли-продажи.
Один взрослый собственник. Узнать больше Это доля в квартире Уточните у автора объявления, как оформлено право собственности и перепланировка, а также какой ремонт — можно ли заезжать и жить",55.71515,37.735512,,,2025-11-30 19:38:00,2025-12-20 03:50:26,https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-saratovskaya-ulica-2656919236-1.jpg,,,
https://www.cian.ru/sale/flat/313927363/,"Москва, ВАО, р-н Новокосино, м. Новокосино, Новокосинская улица, 17К7",1250000,Н,Доля,Вторичка,,74.2,40.0,11.0,2.78,10,10,1.0,1.0,,1.0,На улицу и двор,Косметический,1998.0,,1.0,1.0,Железобетонные,4.0,Д,,,Центральное,Н,,,Панельный,"Новокосино 11 мин. (пешком), Реутов 19 мин. (пешком), Новогиреево 6 мин. (на машине)","Носовихинское шоссе, 3 км от МКАД, Косинское шоссе, 7 км от МКАД","Доля в 3-к. квартире 74,2 м/2 10/10эт.
Продаётся 1/12доли (составляет 6,3 м/2 ) в 3-к. квартире общей площадью 74,2 м/2 ,порядок пользования не определён, проживание возможно во всех комнатах, пользование всей квартирой.В собственности по приватизации  более 20 лет .Заселиться и проживать можно сразу после покупки,став собственником вы можете на законных основаниях  , подходит под Московскую прописку,можно прописать несовершеннолетних детей,получать все льготы.

1/12 доли это (6.3 м/2) за 1 250 000р.
Продаётся без просмотра!

В дальнейшем можно выделить в пользование комнату 12,5 м/2. Продаю из своих 1/3 принадлежащих мне  у второго собственника 2/3


Рядом с метро Новокосино 5 минут пешком.
Современный дом постройки 2000г. Квартира улучшенной планировки,все комнаты изолированные 18 м/2 ,12 м/2 и комната 10м/2 с большой застеклённой лоджии  стеклопакетами,большая кухня 11 м/2 два санузла,большой коридор.
В квартире сделан хороший ремонт,во всех комнатах стильные встроенные шкафы купе,во всех комнатах евроокна.квартира продаётся со всей мебелью и техникой стиральная машина,холодильник.
Молодой развивающийся район Новокосино с отличной инфраструктурой,в шаговой доступности три супермаркета,бассейн,фитнес,развлекательный центр,сквер,дет сад,школа.Во дворе всегда есть свободные места для авто.

2 собственника.    
квартира без долгов и обременения. 
Продает собственник. Узнать больше Это доля в квартире Уточните у автора объявления, как оформлено право собственности и перепланировка, а также какой ремонт — можно ли заезжать и жить",55.739868,37.853874,,,2025-12-11 21:56:00,2025-12-20 03:58:21,"https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2416672046-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2406871562-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2406882452-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2406916141-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2416673890-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2416687329-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2406862636-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2406916140-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2406915887-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2413665538-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2406873235-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2416669928-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2406884454-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-novokosinskaya-ulica-2416687314-1.jpg",,,
https://www.cian.ru/sale/flat/323725917/,"Москва, СЗАО, р-н Северное Тушино, м. Планерная, улица Вилиса Лациса, 37К1",1400000,Н,Доля,Вторичка,,62.5,44.9,6.6,2.64,9,12,,1.0,,1.0,На улицу и двор,Косметический,1980.0,1605-АМ,2.0,,Железобетонные,4.0,Д,,Наземная,Центральное,Н,,,Панельный,"Планерная 24 мин. (пешком), Сходненская 5 мин. (на машине), Трикотажная 6 мин. (на машине)",,"Продаётся 1/6 доля в трех-комнатной квартире БЕЗ ВОЗМОЖНОСТИ просмотра перед покупкой.

Предлагаемая к покупке доля идеально подходит для оформления прописки.

Общая площадь квартиры составляет: 62.5 м2 / жилая площадь: 44.9м2;

 На 1/6 долю приходится 10.41 м2 от ОБЩЕЙ / 7.48 м2 от ЖИЛОЙ площади.

Всего у квартиры три собственника со следующими долями в праве:
1/6 - мой клиент (Продавец)
1/6 - младшая племянница (1988 г.р.) моего клиента
2/3 - старшая племянница (1982 г.р.) моего клиента

Продаваемая моим клиентом 1/6 Доля не обременена никакими ограничениями и пригодна для беспрепятственной покупки.

В квартире никто не прописан.

Кто там проживает - мы не знаем, так как у моего клиента нет доступа в квартиру. Ключей у моего клиента нет. Квартирой пользуются два других содольщика по своему усмотрению.

Свободная продажа. Полная стоимость в Договоре купли-продажи.

Основание права: Наследство по завещанию от отца к сыну. Умер Отец в декабре 2022 года.

Если есть интерес - звоните.
Обговорим детали, договоримся о сделке. Узнать больше Это доля в квартире Уточните у автора объявления, как оформлено право собственности и перепланировка, а также какой ремонт — можно ли заезжать и жить",55.858771,37.408004,,,2025-12-17 13:24:00,2025-12-20 03:44:46,"https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-ulica-vilisa-lacisa-2693943253-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-ulica-vilisa-lacisa-2693945931-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-ulica-vilisa-lacisa-2693945898-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-ulica-vilisa-lacisa-2693945887-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-ulica-vilisa-lacisa-2693943230-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-ulica-vilisa-lacisa-2693945884-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-ulica-vilisa-lacisa-2693945888-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-ulica-vilisa-lacisa-2693943251-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-ulica-vilisa-lacisa-2693945885-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-ulica-vilisa-lacisa-2693943246-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-ulica-vilisa-lacisa-2693945889-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-ulica-vilisa-lacisa-2693943255-1.jpg",,,
https://www.cian.ru/sale/flat/324298581/,"Москва, ТАО (Троицкий), м. Ольховая, Троицк, проспект Октябрьский, 2",1400000,Н,Доля,Вторичка,,47.0,30.0,7.5,2.65,11,12,,1.0,1.0,,,Косметический,1978.0,,2.0,,Железобетонные,3.0,Д,,Наземная,Центральное,Н,,,Панельный,"Ольховая 23 мин. (на машине), Прокшино 24 мин. (на машине), Коммунарка 25 мин. (на машине)","Калужское шоссе, 22 км от МКАД, Киевское шоссе, 29 км от МКАД","Внесен  аванс. Продается 1/4 доля в 2-х комнатной квартире общей площадью 47 кв. метров. два собственника. одна комната свободна, возможно проживать или сдавать. места общего пользования требуют ремонта. Вся инфраструктура в пешей доступности. московская прописка. в соседней комнате проживает мужчина. уведомления отправлены. показы по договоренности . Это доля в квартире Уточните у автора объявления, как оформлено право собственности и перепланировка, а также какой ремонт — можно ли заезжать и жить",55.470893,37.291852,,,2025-12-02 09:49:00,2025-12-20 04:01:28,"https://images.cdn-cian.ru/images/dolya-v-kvartire-troick-oktyabrskiy-prospekt-2712333762-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-troick-oktyabrskiy-prospekt-2712333746-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-troick-oktyabrskiy-prospekt-2712333755-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-troick-oktyabrskiy-prospekt-2712333715-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-troick-oktyabrskiy-prospekt-2712338657-1.jpg, https://images.cdn-cian.ru/images/dolya-v-kvartire-troick-oktyabrskiy-prospekt-2712333763-1.jpg",,,
https://www.cian.ru/sale/flat/325043167/,"Москва, САО, р-н Тимирязевский, Астрадамская улица, 4",1500000,Н,Доля,Вторичка,,58.0,,,,5,9,,,,,,Косметический,1968.0,II-49,,,,8.0,,,,Центральное,Н,Центральное,,Панельный,,,"Продаю 1/8 долю в трex 3-комнатной квартиpе (cоотвeтствует 7,275 кв.м.). Moжнo прoпиcaтьcя. Kвартира мaлонaселeннaя - можно пo cуду oпредeлить поpядoк пoльзования, раздeлить лицeвoй cчет и заселитьcя в одну из кoмнaт. (делaете это caмоcтoятельно поcле покупки). Оcтaвшaяся 1/8 доля принaдлeжит жeнщине 1977 гoда рождения, 1/8 ее сыну 2009 года рождения , и 5/8 ее другому сыну 2005 года рождения. (Он же единственный зарегистрированный в квартире). Доля продается БЕЗ ПРОСМОТРА. Сделка нотариальная. Без обременений. Узнать больше Это доля в квартире Уточните у автора объявления, как оформлено право собственности и перепланировка, а также какой ремонт — можно ли заезжать и жить",55.81173,37.565955,,,2025-12-15 12:44:00,2025-12-20 03:44:53,"https://images.cdn-cian.ru/images/2737772642-1.jpg, https://images.cdn-cian.ru/images/2737772639-1.jpg, https://images.cdn-cian.ru/images/2737769705-1.jpg",,,
https://www.cian.ru/sale/flat/324030535/,"Москва, ЮВАО, р-н Нижегородский, м. Нижегородская, 3-я Карачаровская улица, 4К2",1500000,Н,Доля,Вторичка,,70.0,20.0,10.0,,1,5,,1.0,,,На улицу,Косметический,1959.0,Индивидуальный проект,,,Деревянные,4.0,,,,Центральное,Н,Центральное,,Кирпичный,"Нижегородская 12 мин. (пешком), Нижегородская 13 мин. (пешком), Нижегородская 14 мин. (пешком)",,"Продается под регистрацию доля в комнате. Без проживания! Дом возможен под снос. Это доля в квартире Уточните у автора объявления, как оформлено право собственности и перепланировка, а также какой ремонт — можно ли заезжать и жить",55.733168,37.745025,,,2025-12-17 11:59:00,2025-12-20 04:01:16,https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-3ya-karacharovskaya-ulica-2703904753-1.jpg,,,
https://www.cian.ru/sale/flat/316060102/,"Москва, ЮАО, р-н Братеево, м. Алма-Атинская, Ключевая улица, 22К1",1750000,Н,Доля,Вторичка,,38.2,19.1,8.7,2.64,9,17,1.0,,,1.0,,Косметический,1996.0,,1.0,,Железобетонные,4.0,Д,,Наземная,Центральное,Н,,,Панельный,"Алма-Атинская 5 мин. (пешком), Борисово 17 мин. (пешком), Шипиловская 5 мин. (на машине)",,"Продам без просмотра две доли в 1 комнатной квартире 38,2 кв.м. на 9 этаже 17 этажного дома в 5 минутах ходьбы от м. Алма- Атинская, ЮВАО, район Братеево. Общая площадь долей 7,64 кв.метров, каждая доля 3, 82 кв. метра. Доли образованы в результате наследства и дальнейшего дарения. В собственности более 3-х лет. Всего в квартире 3 совершеннолетних собственника, проживает 1 - женщина 39 лет, не замужем, без детей. Офоpмлeниe пpодажи доли пo закoну осуществляeтcя через нoтариуcа. Он готовит договор, провeряeт юридическую чиcтоту документов и подает на регистрацию в Росреестр. Расчеты производятся также через нотариуса. Для проживания в квартире и прописки согласия других собственников не требуется. Порядок пользования долями не определён, т.е. можно при определенных обстоятельствах получать компенсацию в случае непроживания в них. Доли выделены,  образованы до 1 сентября 2022 года, поэтому сделки с ними допустимы, подлежат регистрации в Росреестре. Доли продаются от собственника, поэтому вы сможете избежать дополнительных комиссий и переплат. Цена всей квартиры около 11 млн. рублей. Узнать больше Это доля в квартире Уточните у автора объявления, как оформлено право собственности и перепланировка, а также какой ремонт — можно ли заезжать и жить",55.632382,37.762542,,,2025-11-03 15:05:00,2025-12-20 04:04:03,https://images.cdn-cian.ru/images/dolya-v-kvartire-moskva-klyuchevaya-ulica-2573740367-1.jpg,,,
